w.2.n	w.\1.n
>.w.y	>.w.y
>.w.y	>.w.y
y.>.3	y.>.\1
y.2.3	y.\1.\2
>.y.3	>.y.\1
>.y.3	>.y.\1
y.2.n	y.\1.n
>.y.n	>.y.n
>.2.3	>.\1.\2
>.2.3	>.\1.\1
>.2.3	>.\1.\1
>.2.n	>.\1.n
1.>.3	\1.>.\2
1.y.3	\1.y.\2
1.y.3	\1.y.\2
1.2.>	\1.\2.>
1.2.3	\1.\2.\3
1.2.3	\1.\2.\2
1.2.3	\1.\2.\2
1.2.y	\1.\2.y
1.2.w	\1.\2.w
1.y.3	\1.y.\2
1.y.3	\1.y.\2
w.>.3	w.>.\1
1.2.3	\1.\2.\3
w.2.3	w.\1.\2
>.2.3	>.\1.\2
w.2.y	w.\1.y
w.2.>	w.\1.>
1.w.3	\1.w.\2
1.w.3	\1.w.\2
1.w.3	\1.w.\2
1.w.y	\1.w.y
1.2.n	\1.\2.n
1.2.3	\1.\3.\4
1.2.3	\1.\2.\3
1.2.3	\1.\2.\3
1.w.3	\1.w.\2
1.w.3	\1.w.\2
1.w.n	\1.w.n
1.w.n	\1.w.n
1.2.t	\1.\2.t
1.2.n	\1.\3.n
1.y.3	\1.y.\2
1.y.3	\1.y.\2
1.2.y	\1.\2.y
1.2.>	\1.\2.>
1.2.3.4	\1.\2.\3.\4
1.2.3.4	\1.\2.\3.\4
1.>.y	\1.>.y
1.y.3	\1.y.\2
1.y.3	\1.y.\2
1.y.n	\1.y.n
1.y.n	\1.y.n
1.2.3	\1.\2.\3
1.2.y	\1.\2.y
1.2.w	\1.\2.w
1.w.3	\1.w.\2
>.2.y	>.\1.y
>.2.3	>.\1.\2
>.2.n	>.\1.n
1.w.>	\1.w.>
1.w.3	\1.w.\2
1.w.3	\1.w.\2
1.y.n	\1.y.n
1.y.n	\1.y.n
1.2.3	\1.\2.\3
1.2.3	\1.\2.\2
1.2.3	\1.\2.\2
1.2.>	\1.\2.>
1.2.n	\1.\2.n
1.2.y	\1.\2.y
1.y.n	\1.y.n
1.2.3	\1.\2.\2
1.2.w	\1.\2.w
1.w.3	\1.w.\2
1.2.t	\1.\2.t
1.y.3	\1.y.\2
1.y.3	\1.y.\2
1.n.n	\1.n.n
1.n.n	\1.n.n
1.w.3	\1.w.\2
1.y.y	\1.y.y
1.w.n	\1.w.n
1.>.3	\1.>.\2
1.w.>	\1.w.>
1.y.3	\1.y.\2
1.w.n	\1.w.n
1.w.n	\1.w.n
1.w.y	\1.w.y
1.w.t	\1.w.t
1.w.t	\1.w.t
1.n.n	\1.n.n
1.n.n	\1.n.n
w.>.3	w.>.\1
w.2.3	w.\1.\2
w.2.y	w.\1.y
w.2.n	w.\1.n
y.>.3	y.>.\1
y.2.3	y.\1.\2
y.2.n	y.\1.n
1.2.3.4	\1.\2.\3.\4
1.2.>.4	\1.\2.>.\3
1.2.>.4	\1.\2.>.\3
1.y.3	\1.y.\2
1.y.3	\1.y.\2
1.2.3	\1.\2.\3
1.2.3	\1.\2.\2
1.2.3	\1.\2.\2
1.2.w	\1.\2.w
1.2.y	\1.\2.y
1.2.w.4	\1.\2.w.\3
1.2.w.4	\1.\2.w.\3
1.2.n	\1.\2.n
1.2.>.n	\1.\2.>.n
1.2.>.n	\1.\2.>.n
1.w.3	\1.w.\2
1.w.t	\1.w.t
1.w.t	\1.w.t
1.w.t	\1.w.t
1.t.t	\1.t.t
1.t.t	\1.t.t
1.w.3	\1.w.\2
1.2.n	\1.\2.n
1.2.n	\1.\2.n
1.2.3	\1.\2.\3
1.2.w	\1.\2.w
1.y.3	\1.y.\2
1.y.3	\1.y.\2
1.t.t	\1.t.t
1.t.t	\1.t.t
1.2.3	\1.\2.\3
1.2.3	\1.\2.\2
1.2.3	\1.\2.\2
1.2.y	\1.\2.y
1.2.t	\1.\2.t
1.w.3	\1.w.\2
1.w.3	\1.w.\2
1.2.n	\1.\2.n
1.w.y	\1.w.y
1.2.y	\1.\2.y
1.2.w	\1.\2.w
1.2.>	\1.\2.>
1.w.3	\1.w.\2
1.>.3.>	\1.>.\2.>
1.>.3	\1.>.\2
1.>.3	\1.>.\2
1.w.>	\1.w.>
1.w.>	\1.w.>
1.y.t	\1.y.t
1.y.t	\1.y.t
1.w.3	\1.w.\2
1.w.3	\1.w.\2
1.2.t	\1.\2.t
1.2.3	\1.\2.\3
1.y.3	\1.y.\2
1.y.3	\1.y.\2
1.2.>	\1.\2.>
1.2.y	\1.\2.y
1.2.w	\1.\2.w
1.y.n	\1.y.n
1.y.n	\1.y.n
1.y.3	\1.y.\2
1.y.n	\1.y.n
1.t.t	\1.t.t
1.t.t	\1.t.t
1.2.t	\1.\2.t
1.2.3	\1.\2.\3
1.2.3	\1.\2.\3
1.2.3	\1.\2.\2
1.2.3	\1.\2.\2
1.2.3	\1.\2.\3
1.2.n	\1.\2.n
1.2.3.4	\1.\2.\3.\4
1.2.w	\1.\2.w
1.2.3	\1.\2.\3
1.2.>	\1.\2.>
1.2.n	\1.\2.n
1.2.n	\1.\2.n
1.2.>	\1.\2.>
1.2.>	\1.\2.>
1.2.>	\1.\2.>
1.2.3.n	\1.\2.\3.n
1.2.w.4	\1.\2.w.\3
1.2.y	\1.\2.y
1.2.t	\1.\2.t
1.2.y	\1.\2.y
1.2.y	\1.\2.y
1.2.w	\1.\2.w
1.2.t	\1.\2.t
1.2.t	\1.\2.t
1.w.>	\1.w.>
1.w.3	\1.w.\2
1.y.t	\1.y.t
1.y.3	\1.y.\2
1.y.3.4	\1.y.\2.\3
1.y.n	\1.y.n
>.2.w	>.\1.w
>.2.3	>.\1.\2
>.2.y	>.\1.y
>.2.3	>.\1.\2
>.2.y	>.\1.y
>.2.w	>.\1.w
>.2.n	>.\1.n
>.2.3.4	>.\1.\2.\3
>.2.3.n	>.\1.\2.n
>.2.3.4.5	>.\1.\2.\3.\4
>.w.3	>.w.\1
>.w.3.4	>.w.\1.\2
>.y.3	>.y.\1
>.y.n	>.y.n
1.w.3	\1.w.\2
1.>.3	\1.>.\2
1.2.3	\1.\2.\3
1.2.y	\1.\2.y
1.2.>	\1.\2.>
1.y.3	\1.y.\2
1.y.n	\1.y.n
1.2.3	\1.\2.\3
1.2.3.4	\1.\2.\3.\4
1.2.y	\1.\2.y
1.2.>	\1.\2.>
1.2.n	\1.\2.n
1.2.w.4	\1.\2.w.\3
1.w.>	\1.w.>
1.w.3	\1.w.\2
1.y.3	\1.y.\2
1.y.n	\1.y.n
1.2.w	\1.\2.w
1.>.3.4	\1.>.\2.\3
1.w.3	\1.w.\2
1.2.t	\1.\2.t
1.2.3	\1.\2.\2
1.2.3	\1.\2.\2
1.2.3.n	\1.\2.\3.n
1.w.3.4	\1.w.\2.\3
1.w.y	\1.w.y
1.t.t	\1.t.t
1.t.t	\1.t.t
1.2.n	\1.\2.n
1.2.w	\1.\2.w
1.w.3	\1.w.\2
1.w.n	\1.w.n
1.w.y	\1.w.y
1.>.3	\1.>.\2
1.y.3	\1.y.\2
1.>.y	\1.>.y
1.>.y	\1.>.y
1.2.w.n	\1.\2.w.n
1.y.y	\1.y.y
1.w.3.n	\1.w.\2.n
1.y.3.4	\1.y.\2.\3
1.y.>	\1.y.>
1.y.3.n	\1.y.\2.n
1.y.w.4	\1.y.w.\2
1.2.3	\1.\2.\2
1.>.3.n	\1.>.\2.n
1.2.y.n	\1.\2.y.n
1.2.>.n	\1.\2.>.n
1.w.n	\1.w.n
1.2.3.t	\1.\2.\3.t
1.w.t	\1.w.t
1.w.t	\1.w.t
1.2.w	\1.\2.w
1.>.3.>	\1.>.\2.>
1.w.3	\1.w.\2
1.2.t	\1.\2.t
1.y.>	\1.y.>
w.>.3	w.>.\1
w.>.3	w.>.\1
w.2.3	w.\1.\2
w.2.3	w.\1.\1
w.2.3	w.\1.\1
w.2.y	w.\1.y
w.2.n	w.\1.n
w.2.>	w.\1.>
1.w.3.4	\1.w.\2.\3
w.2.3	w.\1.\2
w.2.w.4	w.\1.w.\2
w.2.y	w.\1.y
w.2.>	w.\1.>
w.2.n	w.\1.n
y.2.3	y.\1.\2
y.2.n	y.\1.n
1.w.3	\1.w.\2
1.2.n	\1.\2.n
1.2.n	\1.\2.n
1.w.y	\1.w.y
1.w.y	\1.w.y
1.y.3	\1.y.\2
1.y.>	\1.y.>
1.y.>	\1.y.>
1.w.3	\1.w.\2
1.2.3	\1.\2.\2
1.n.n	\1.n.n
1.n.n	\1.n.n
1.w.y	\1.w.y
1.2.3	\1.\2.\2
1.2.3	\1.\2.\2
1.2.3	\1.\2.\2
1.y.3	\1.y.\2
1.2.w	\1.\2.w
1.2.3	\1.\2.\2
1.2.w	\1.\2.w
1.2.w	\1.\2.w
1.w.3	\1.w.\2
1.y.y	\1.y.y
1.y.y	\1.y.y
1.y.w	\1.y.w
1.y.y	\1.y.y
1.w.n	\1.w.n
1.w.n	\1.w.n
1.w.y	\1.w.y
1.w.n	\1.w.n
1.w.3.n	\1.w.\2.n
1.w.3	\1.w.\2
1.>.y	\1.>.y
1.>.3	\1.>.\2
1.y.3	\1.y.\2
1.>.y	\1.>.y
1.2.w	\1.\2.w
1.2.3	\1.\2.\2
1.2.y	\1.\2.y
1.2.w.n	\1.\2.w.n
1.w.3	\1.w.\2
1.y.y	\1.y.y
1.>.3	\1.>.\2
1.2.3.t	\1.\2.\3.t
1.2.y.t	\1.\2.y.t
1.>.w	\1.>.w
1.w.w	\1.w.w
1.w.t	\1.w.t
1.w.t	\1.w.t
1.w.t	\1.w.t
1.w.3.y	\1.w.\2.y
1.n.n	\1.n.n
1.>.3.n	\1.>.\2.n
1.2.y	\1.\2.y
1.2.>.n	\1.\2.>.n
1.y.3	\1.y.\2
1.y.3	\1.y.\2
1.y.3	\1.y.\2
1.w.n	\1.w.n
1.2.n	\1.\2.n
1.2.y	\1.\2.y
1.y.>	\1.y.>
1.w.3	\1.w.\2
1.2.3	\1.\2.\2
1.2.3	\1.\2.\2
1.2.3	\1.\2.\2
1.w.3	\1.w.\2
1.w.3	\1.w.\2
1.y.3	\1.y.\2
1.y.3	\1.y.\2
1.y.3	\1.y.\2
1.>.n	\1.>.n
1.2.y.4	\1.\2.y.\3
1.w.>	\1.w.>
1.y.>	\1.y.>
1.y.3.n	\1.y.\2.n
w.>.3	w.>.\1
w.>.3	w.>.\1
w.2.3	w.\1.\2
w.2.y	w.\1.y
w.2.3	w.\1.\1
w.2.3	w.\1.\1
w.2.n	w.\1.n
w.2.>	w.\1.>
w.2.>	w.\1.>
w.2.>	w.\1.>
w.2.3	w.\1.\2
w.2.3	w.\1.\2
w.2.3	w.\1.\2
w.2.3	w.\1.\2
w.2.>	w.\1.>
w.2.w.4	w.\1.w.\2
w.2.y	w.\1.y
w.2.y	w.\1.y
w.2.3	w.\1.\1
w.2.3	w.\1.\1
w.2.3.4	w.\1.\2.\3
w.2.3	w.\1.\1
w.2.n	w.\1.n
w.2.n	w.\1.n
w.2.>	w.\1.>
w.2.n	w.\1.n
w.2.t	w.\1.t
w.2.y	w.\1.y
w.n.n	w.n.n
w.n.n	w.n.n
w.2.n	w.\1.n
y.>.3	y.>.\1
y.2.3	y.\1.\2
y.w.3	y.w.\1
y.2.3	y.\1.\2
y.2.3	y.\1.\2
y.2.3	y.\1.\2
y.2.3	y.\1.\2
y.2.n	y.\1.n
y.2.n	y.\1.n
y.2.n	y.\1.n
y.2.n	y.\1.n
y.w.3	y.w.\1
>.w.3	>.w.\1
>.w.3	>.w.\1
>.2.y	>.\1.y
>.2.3	>.\1.\2
>.2.w	>.\1.w
>.2.n	>.\1.n
>.y.3	>.y.\1
>.y.3	>.y.\1
w.2.y	w.\1.y
>.y.n	>.y.n
>.y.n	>.y.n
>.w.y	>.w.y
>.2.3	>.\1.\1
>.2.3	>.\1.\1
1.w.>	\1.w.>
1.y.t	\1.y.t
1.y.t	\1.y.t
1.w.3	\1.w.\2
1.w.3	\1.w.\2
1.y.3	\1.y.\2
1.y.3	\1.y.\2
1.y.n	\1.y.n
1.y.n	\1.y.n
1.2.3	\1.\2.\2
1.2.3	\1.\2.\2
1.2.3	\1.\2.\3
>.2.3	>.\1.\2
>.2.3	>.\1.\2
1.2.>	\1.\2.>
1.2.y	\1.\2.y
1.2.n	\1.\2.n
1.2.w	\1.\2.w
>.2.n	>.\1.n
>.2.3	>.\1.\2
1.2.t	\1.\2.t
>.2.y	>.\1.y
1.y.3	\1.y.\2
1.w.3	\1.w.\2
1.w.y	\1.w.y
1.n.n	\1.n.n
1.n.n	\1.n.n
w.2.3	w.\1.\2
1.w.3	\1.w.\2
1.y.y	\1.y.y
>.2.3	>.\1.\2
>.2.y	>.\1.y
>.2.n	>.\1.n
>.2.y	>.\1.y
1.>.y	\1.>.y
1.>.3	\1.>.\2
>.2.w	>.\1.w
1.t.t	\1.t.t
1.t.t	\1.t.t
1.2.y	\1.\2.y
1.w.n	\1.w.n
1.w.n	\1.w.n
1.y.3	\1.y.\2
1.y.>	\1.y.>
>.2.3.4	>.\1.\2.\3
1.w.t	\1.w.t
1.w.t	\1.w.t
>.2.t	>.\1.t
>.2.3.n	>.\1.\2.n
>.2.n	>.\1.n
>.n.n	>.n.n
>.n.n	>.n.n
>.2.3.4.5	>.\1.\2.\3.\4
>.w.3	>.w.\1
w.2.3	w.\1.\2
w.2.>	w.\1.>
w.2.y	w.\1.y
>.w.3	>.w.\1
>.w.3.4	>.w.\1.\2
w.2.n	w.\1.n
>.w.y	>.w.y
>.w.y	>.w.y
y.>.3	y.>.\1
y.2.3	y.\1.\2
>.y.3	>.y.\1
>.y.3	>.y.\1
y.2.n	y.\1.n
>.y.n	>.y.n
>.2.3	>.\1.\2
>.2.3	>.\1.\1
>.2.3	>.\1.\1
>.2.n	>.\1.n
1.>.3	\1.>.\2
1.y.3	\1.y.\2
1.y.3	\1.y.\2
1.2.>	\1.\2.>
1.2.3	\1.\2.\3
1.2.3	\1.\2.\2
1.2.3	\1.\2.\2
1.2.y	\1.\2.y
1.2.w	\1.\2.w
1.y.3	\1.y.\2
1.y.3	\1.y.\2
w.>.3	w.>.\1
1.2.3	\1.\2.\3
w.2.3	w.\1.\2
>.2.3	>.\1.\2
w.2.y	w.\1.y
w.2.>	w.\1.>
1.w.3	\1.w.\2
1.w.3	\1.w.\2
1.w.3	\1.w.\2
1.w.y	\1.w.y
1.2.n	\1.\2.n
1.2.3	\1.\3.\4
1.2.3	\1.\2.\3
1.2.3	\1.\2.\3
1.w.3	\1.w.\2
1.w.3	\1.w.\2
1.w.n	\1.w.n
1.w.n	\1.w.n
1.2.t	\1.\2.t
1.2.n	\1.\3.n
1.y.3	\1.y.\2
1.y.3	\1.y.\2
1.2.y	\1.\2.y
1.2.>	\1.\2.>
1.2.3.4	\1.\2.\3.\4
1.2.3.4	\1.\2.\3.\4
1.>.y	\1.>.y
1.y.3	\1.y.\2
1.y.3	\1.y.\2
1.y.n	\1.y.n
1.y.n	\1.y.n
1.2.3	\1.\2.\3
1.2.y	\1.\2.y
1.2.w	\1.\2.w
1.w.3	\1.w.\2
>.2.y	>.\1.y
>.2.3	>.\1.\2
>.2.n	>.\1.n
1.w.>	\1.w.>
1.w.3	\1.w.\2
1.w.3	\1.w.\2
1.y.n	\1.y.n
1.y.n	\1.y.n
1.2.3	\1.\2.\3
1.2.3	\1.\2.\2
1.2.3	\1.\2.\2
1.2.>	\1.\2.>
1.2.n	\1.\2.n
1.2.y	\1.\2.y
1.y.n	\1.y.n
1.2.3	\1.\2.\2
1.2.w	\1.\2.w
1.w.3	\1.w.\2
1.2.t	\1.\2.t
1.y.3	\1.y.\2
1.y.3	\1.y.\2
1.n.n	\1.n.n
1.n.n	\1.n.n
1.w.3	\1.w.\2
1.y.y	\1.y.y
1.w.n	\1.w.n
1.>.3	\1.>.\2
1.w.>	\1.w.>
1.y.3	\1.y.\2
1.w.n	\1.w.n
1.w.n	\1.w.n
1.w.y	\1.w.y
1.w.t	\1.w.t
1.w.t	\1.w.t
1.n.n	\1.n.n
1.n.n	\1.n.n
w.>.3	w.>.\1
w.2.3	w.\1.\2
w.2.y	w.\1.y
w.2.n	w.\1.n
y.>.3	y.>.\1
y.2.3	y.\1.\2
y.2.n	y.\1.n
1.2.3.4	\1.\2.\3.\4
1.2.>.4	\1.\2.>.\3
1.2.>.4	\1.\2.>.\3
1.y.3	\1.y.\2
1.y.3	\1.y.\2
1.2.3	\1.\2.\3
1.2.3	\1.\2.\2
1.2.3	\1.\2.\2
1.2.w	\1.\2.w
1.2.y	\1.\2.y
1.2.w.4	\1.\2.w.\3
1.2.w.4	\1.\2.w.\3
1.2.n	\1.\2.n
1.2.>.n	\1.\2.>.n
1.2.>.n	\1.\2.>.n
1.w.3	\1.w.\2
1.w.t	\1.w.t
1.w.t	\1.w.t
1.w.t	\1.w.t
1.t.t	\1.t.t
1.t.t	\1.t.t
1.w.3	\1.w.\2
1.2.n	\1.\2.n
1.2.n	\1.\2.n
1.2.3	\1.\2.\3
1.2.w	\1.\2.w
1.y.3	\1.y.\2
1.y.3	\1.y.\2
1.t.t	\1.t.t
1.t.t	\1.t.t
1.2.3	\1.\2.\3
1.2.3	\1.\2.\2
1.2.3	\1.\2.\2
1.2.y	\1.\2.y
1.2.t	\1.\2.t
1.w.3	\1.w.\2
1.w.3	\1.w.\2
1.2.n	\1.\2.n
1.w.y	\1.w.y
1.2.y	\1.\2.y
1.2.w	\1.\2.w
1.2.>	\1.\2.>
1.w.3	\1.w.\2
1.>.3.>	\1.>.\2.>
1.>.3	\1.>.\2
1.>.3	\1.>.\2
1.w.>	\1.w.>
1.w.>	\1.w.>
1.y.t	\1.y.t
1.y.t	\1.y.t
1.w.3	\1.w.\2
1.w.3	\1.w.\2
1.2.t	\1.\2.t
1.2.3	\1.\2.\3
1.y.3	\1.y.\2
1.y.3	\1.y.\2
1.2.>	\1.\2.>
1.2.y	\1.\2.y
1.2.w	\1.\2.w
1.y.n	\1.y.n
1.y.n	\1.y.n
1.y.3	\1.y.\2
1.y.n	\1.y.n
1.t.t	\1.t.t
1.t.t	\1.t.t
1.2.t	\1.\2.t
1.2.3	\1.\2.\3
1.2.3	\1.\2.\3
1.2.3	\1.\2.\2
1.2.3	\1.\2.\2
1.2.3	\1.\2.\3
1.2.n	\1.\2.n
1.2.3.4	\1.\2.\3.\4
1.2.w	\1.\2.w
1.2.3	\1.\2.\3
1.2.>	\1.\2.>
1.2.n	\1.\2.n
1.2.n	\1.\2.n
1.2.>	\1.\2.>
1.2.>	\1.\2.>
1.2.>	\1.\2.>
1.2.3.n	\1.\2.\3.n
1.2.w.4	\1.\2.w.\3
1.2.y	\1.\2.y
1.2.t	\1.\2.t
1.2.y	\1.\2.y
1.2.y	\1.\2.y
1.2.w	\1.\2.w
1.2.t	\1.\2.t
1.2.t	\1.\2.t
1.w.>	\1.w.>
1.w.3	\1.w.\2
1.y.t	\1.y.t
1.y.3	\1.y.\2
1.y.3.4	\1.y.\2.\3
1.y.n	\1.y.n
>.2.w	>.\1.w
>.2.3	>.\1.\2
>.2.y	>.\1.y
>.2.3	>.\1.\2
>.2.y	>.\1.y
>.2.w	>.\1.w
>.2.n	>.\1.n
>.2.3.4	>.\1.\2.\3
>.2.3.n	>.\1.\2.n
>.2.3.4.5	>.\1.\2.\3.\4
>.w.3	>.w.\1
>.w.3.4	>.w.\1.\2
>.y.3	>.y.\1
>.y.n	>.y.n
1.>.3	\1.>.\2
1.2.3	\1.\2.\3
1.2.y	\1.\2.y
1.2.>	\1.\2.>
1.y.3	\1.y.\2
1.y.n	\1.y.n
1.2.3	\1.\2.\3
1.2.3.4	\1.\2.\3.\4
1.2.y	\1.\2.y
1.2.>	\1.\2.>
1.2.n	\1.\2.n
1.2.w.4	\1.\2.w.\3
1.w.>	\1.w.>
1.w.3	\1.w.\2
1.y.3	\1.y.\2
1.y.n	\1.y.n
1.2.w	\1.\2.w
1.>.3.4	\1.>.\2.\3
1.w.3	\1.w.\2
1.2.t	\1.\2.t
1.2.3	\1.\2.\2
1.2.3	\1.\2.\2
1.2.3.n	\1.\2.\3.n
1.w.3.4	\1.w.\2.\3
1.w.y	\1.w.y
1.t.t	\1.t.t
1.t.t	\1.t.t
1.2.n	\1.\2.n
1.2.w	\1.\2.w
1.w.3	\1.w.\2
1.w.n	\1.w.n
1.w.y	\1.w.y
1.>.3	\1.>.\2
1.y.3	\1.y.\2
1.>.y	\1.>.y
1.>.y	\1.>.y
1.2.w.n	\1.\2.w.n
1.y.y	\1.y.y
1.w.3.n	\1.w.\2.n
1.y.3.4	\1.y.\2.\3
1.y.>	\1.y.>
1.y.3.n	\1.y.\2.n
1.y.w.4	\1.y.w.\2
1.2.3	\1.\2.\2
1.>.3.n	\1.>.\2.n
1.2.y.n	\1.\2.y.n
1.2.>.n	\1.\2.>.n
1.w.n	\1.w.n
1.2.3.t	\1.\2.\3.t
1.w.t	\1.w.t
1.w.t	\1.w.t
1.2.w	\1.\2.w
1.>.3.>	\1.>.\2.>
1.w.3	\1.w.\2
1.2.t	\1.\2.t
1.y.>	\1.y.>
w.>.3	w.>.\1
w.>.3	w.>.\1
w.2.3	w.\1.\2
w.2.3	w.\1.\1
w.2.3	w.\1.\1
w.2.y	w.\1.y
w.2.n	w.\1.n
w.2.>	w.\1.>
1.w.3.4	\1.w.\2.\3
w.2.3	w.\1.\2
w.2.w.4	w.\1.w.\2
w.2.y	w.\1.y
w.2.>	w.\1.>
w.2.n	w.\1.n
y.2.3	y.\1.\2
y.2.n	y.\1.n
1.w.3	\1.w.\2
1.2.n	\1.\2.n
1.2.n	\1.\2.n
1.w.y	\1.w.y
1.w.y	\1.w.y
1.y.3	\1.y.\2
1.y.>	\1.y.>
1.y.>	\1.y.>
1.w.3	\1.w.\2
1.2.3	\1.\2.\2
1.n.n	\1.n.n
1.n.n	\1.n.n
1.w.y	\1.w.y
1.2.3	\1.\2.\2
1.2.3	\1.\2.\2
1.2.3	\1.\2.\2
1.2.w	\1.\2.w
1.2.w	\1.\2.w
1.w.3	\1.w.\2
1.y.y	\1.y.y
1.y.y	\1.y.y
1.y.w	\1.y.w
1.y.y	\1.y.y
1.w.n	\1.w.n
1.w.n	\1.w.n
1.w.y	\1.w.y
1.w.n	\1.w.n
1.w.3.n	\1.w.\2.n
1.w.3	\1.w.\2
1.>.y	\1.>.y
1.>.3	\1.>.\2
1.y.3	\1.y.\2
1.>.y	\1.>.y
1.2.w	\1.\2.w
1.2.3	\1.\2.\2
1.2.y	\1.\2.y
1.2.w.n	\1.\2.w.n
1.w.3	\1.w.\2
1.y.y	\1.y.y
1.>.3	\1.>.\2
1.2.3.t	\1.\2.\3.t
1.2.y.t	\1.\2.y.t
1.>.w	\1.>.w
1.w.w	\1.w.w
1.w.t	\1.w.t
1.w.t	\1.w.t
1.w.t	\1.w.t
1.w.3.y	\1.w.\2.y
1.>.3.n	\1.>.\2.n
1.2.y	\1.\2.y
1.2.>.n	\1.\2.>.n
1.w.n	\1.w.n
1.2.y	\1.\2.y
1.y.>	\1.y.>
1.w.3	\1.w.\2
1.2.3	\1.\2.\2
1.2.3	\1.\2.\2
1.w.3	\1.w.\2
1.w.3	\1.w.\2
1.y.3	\1.y.\2
1.>.n	\1.>.n
1.2.y.4	\1.\2.y.\3
1.w.>	\1.w.>
1.y.>	\1.y.>
1.y.3.n	\1.y.\2.n
w.>.3	w.>.\1
w.>.3	w.>.\1
w.2.3	w.\1.\2
w.2.y	w.\1.y
w.2.3	w.\1.\1
w.2.3	w.\1.\1
w.2.n	w.\1.n
w.2.>	w.\1.>
w.2.>	w.\1.>
w.2.>	w.\1.>
w.2.3	w.\1.\2
w.2.3	w.\1.\2
w.2.3	w.\1.\2
w.2.3	w.\1.\2
w.2.>	w.\1.>
w.2.w.4	w.\1.w.\2
w.2.y	w.\1.y
w.2.y	w.\1.y
w.2.3	w.\1.\1
w.2.3	w.\1.\1
w.2.3.4	w.\1.\2.\3
w.2.n	w.\1.n
w.2.n	w.\1.n
w.2.>	w.\1.>
w.2.n	w.\1.n
w.2.t	w.\1.t
w.2.y	w.\1.y
w.n.n	w.n.n
w.n.n	w.n.n
w.2.n	w.\1.n
y.>.3	y.>.\1
y.2.3	y.\1.\2
y.w.3	y.w.\1
y.2.3	y.\1.\2
y.2.3	y.\1.\2
y.2.3	y.\1.\2
y.2.3	y.\1.\2
y.2.n	y.\1.n
y.2.n	y.\1.n
y.2.n	y.\1.n
y.2.n	y.\1.n
y.w.3	y.w.\1
